26/03/24 07:43:23,834 INFO  [@init servlet   ] [FreemarkerConfiguration       ] [system_user@l2Q1@] Finished initialization of "Notification" freemarker configuration
 26/03/24 07:43:32,724 INFO  [@init servlet   ] [NotificationJobProcessorUtils ] [@] Applying notification send delay 60000 (using for cluster notification merge)
 26/03/24 07:43:42,734 INFO  [@ssue-analysis-1] [AnalysisDurabilityJob         ] [@] [AD:1711439022725] started, processing PersistentEvent (11-X..11-28]
 26/03/24 08:33:12,780 INFO  [@sue-analysis-34] [AnalysisDurabilityJob         ] [@] [AD:1711441992779] started, processing PersistentEvent (11-X..11-29]
 26/03/24 08:33:12,816 INFO  [@tion-analyzer-1] [AbstractAnalyzerJob           ] [@] [DG_AJ:001-1:11-29#11-29:1-1] started
 26/03/24 08:33:12,824 INFO  [@tion-analyzer-1] [AnalyzerMonitor               ] [@] [DG_AJ:001-1:11-29#11-29:1-1] started [001-1:analysis in state after change]
 26/03/24 08:33:12,941 INFO  [@tion-analyzer-1] [AnalyzerMonitor               ] [@] [DG_AJ:001-1:11-29#11-29:1-1] skipped [001-1:analysis in state before change]
 26/03/24 08:33:12,942 INFO  [@tion-analyzer-1] [AnalyzerMonitor               ] [@] [DG_AJ:001-1:11-29#11-29:1-1] started [001-1:user mentions analysis]
 26/03/24 08:33:12,951 INFO  [@tion-analyzer-1] [AnalyzerMonitor               ] [@] [DG_AJ:001-1:11-29#11-29:1-1] started [001-1:user reaction analysis]
 26/03/24 08:33:12,963 INFO  [@tion-analyzer-1] [AbstractAnalyzerJob           ] [@] [DG_AJ:001-1:11-29#11-29:1-1] didn't persist any notification job
 26/03/24 08:34:42,784 INFO  [@sue-analysis-35] [AnalysisDurabilityJob         ] [@] [AD:1711442082780] started, processing PersistentEvent (11-29..11-31]
 26/03/24 08:36:12,782 INFO  [@sue-analysis-36] [AnalysisDurabilityJob         ] [@] [AD:1711442172782] started, processing PersistentEvent (11-29..11-31]
 26/03/24 08:36:12,792 INFO  [@tion-analyzer-2] [AbstractAnalyzerJob           ] [@] [DG_AJ:001-2:11-30#11-30:1-1] started
 26/03/24 08:36:12,793 INFO  [@tion-analyzer-2] [AnalyzerMonitor               ] [@] [DG_AJ:001-2:11-30#11-30:1-1] started [001-2:analysis in state after change]
 26/03/24 08:36:12,815 INFO  [@tion-analyzer-2] [AnalyzerMonitor               ] [@] [DG_AJ:001-2:11-30#11-30:1-1] skipped [001-2:analysis in state before change]
 26/03/24 08:36:12,815 INFO  [@tion-analyzer-2] [AnalyzerMonitor               ] [@] [DG_AJ:001-2:11-30#11-30:1-1] started [001-2:user mentions analysis]
 26/03/24 08:36:12,816 INFO  [@tion-analyzer-2] [AnalyzerMonitor               ] [@] [DG_AJ:001-2:11-30#11-30:1-1] started [001-2:user reaction analysis]
